														
			Ro+F5:M203w Labels	Max of  High	Min of  Low	Row Labels	Sum of  Open			63	57		120	0.579710145
			30-Aug	95.04	90.54	30-Aug	93.9	FALSE	FALSE	149				
			31-Aug	91.61	88.93	31-Aug	89.75	FALSE	TRUE	150				
			01-Sep	88.53	85.98	01-Sep	87.61	FALSE	TRUE	151				
			02-Sep	89.57	86.62	02-Sep	89.2	TRUE	FALSE	152				
			05-Sep	90.39	88.57	05-Sep	90.06	TRUE	FALSE	153				
			06-Sep	88.02	86.27	06-Sep	87.84	FALSE	TRUE	154				
			07-Sep	86.16	81.7	07-Sep	83.72	FALSE	TRUE	155				
			08-Sep	84.25	82.11	08-Sep	83.3	FALSE	FALSE	156				
			09-Sep	87.2	85.3	09-Sep	85.65	TRUE	FALSE	157				
			12-Sep	89.1	87.36	12-Sep	88.33	TRUE	FALSE	158				
			13-Sep	88.54	85.06	13-Sep	87.66	FALSE	FALSE	159				
			14-Sep	90.19	87.43	14-Sep	88.52	FALSE	FALSE	160				
			15-Sep	87.24	84.53	15-Sep	86.88	FALSE	TRUE	161				
			16-Sep	86.18	84.34	16-Sep	85.47	FALSE	FALSE	162				
			19-Sep	85.44	81.75	19-Sep	82.13	FALSE	TRUE	163				
			20-Sep	85.85	83.01	20-Sep	84.43	FALSE	FALSE	164				
			21-Sep	85.88	82.49	21-Sep	85.59	FALSE	FALSE	165				
			22-Sep	86	82.97	22-Sep	85.36	FALSE	FALSE	166				
			23-Sep	80.79	78.04	23-Sep	79.51	FALSE	TRUE	167				
			26-Sep	80.31	76.49	26-Sep	79.19	FALSE	FALSE	168				
			27-Sep	79.51	77.31	27-Sep	77.96	FALSE	FALSE	169				
			28-Sep	82.34	79.08	28-Sep	79.56	TRUE	FALSE	170				
			29-Sep	82.94	80.77	29-Sep	82.31	FALSE	FALSE	171				
			30-Sep	81.22	79.14	30-Sep	80.24	FALSE	TRUE	172				
			03-Oct	84.56	82.18	03-Oct	84.16	TRUE	FALSE	173				
			04-Oct	86.98	85.07	04-Oct	85.97	TRUE	FALSE	174				
			05-Oct	88.42	85.42	05-Oct	87.26	TRUE	FALSE	175				
			06-Oct	88.78	87.3	06-Oct	87.72	FALSE	FALSE	176				
			07-Oct	93.26	89.12	07-Oct	89.35	TRUE	FALSE	177				
			10-Oct	93.64	90.56	10-Oct	92.58	FALSE	FALSE	178				
			11-Oct	90.08	88.3	11-Oct	89.24	FALSE	TRUE	179				
			12-Oct	88.84	86.28	12-Oct	88.15	FALSE	TRUE	180				
